                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 0.7845,                0.53098,                 1.5878,                0.80309,                0.79983,                0.84146,                0.67665,                0.70165,                0.44012,                 1.6381,               0.007228,               0.007228,               0.007228
                     86,                0.78413,                0.52569,                 1.5963,                0.79161,                0.80234,                0.83978,                0.67506,                 0.7012,                0.44026,                  1.639,               0.007195,               0.007195,               0.007195
                     87,                0.77774,                0.51878,                  1.607,                0.79866,                0.79657,                0.83959,                0.67544,                0.70003,                0.43967,                 1.6384,               0.007162,               0.007162,               0.007162
                     88,                0.77597,                0.51805,                 1.5828,                0.79819,                0.80031,                0.84005,                0.67639,                0.69961,                0.43939,                 1.6364,               0.007129,               0.007129,               0.007129
                     89,                0.77914,                0.52586,                 1.5868,                0.80003,                 0.7977,                0.83983,                0.67598,                0.69971,                0.43923,                 1.6352,               0.007096,               0.007096,               0.007096
                     90,                0.78207,                0.52603,                 1.5756,                0.80246,                0.79889,                0.84261,                0.67761,                 0.6999,                0.43865,                 1.6341,               0.007063,               0.007063,               0.007063
                     91,                0.77688,                0.51978,                 1.5851,                0.80561,                0.80197,                0.84509,                0.67992,                0.69979,                0.43798,                 1.6328,                0.00703,                0.00703,                0.00703
                     92,                0.78356,                0.52956,                 1.5781,                0.80178,                0.80245,                0.84551,                0.68021,                0.69931,                0.43746,                 1.6321,               0.006997,               0.006997,               0.006997
                     93,                0.77267,                0.51524,                 1.5866,                 0.8119,                0.79419,                0.84687,                0.68176,                0.69946,                0.43719,                 1.6302,               0.006964,               0.006964,               0.006964
                     94,                0.77195,                0.51726,                 1.5838,                0.80522,                0.80273,                0.84818,                0.68286,                0.69941,                0.43645,                 1.6298,               0.006931,               0.006931,               0.006931
                     95,                0.76542,                0.51492,                 1.5826,                0.80897,                 0.7984,                0.84972,                0.68414,                0.69895,                0.43567,                 1.6301,               0.006898,               0.006898,               0.006898
                     96,                0.76427,                0.50463,                 1.5925,                0.80156,                0.80777,                0.85034,                0.68538,                 0.6986,                0.43581,                 1.6304,               0.006865,               0.006865,               0.006865
                     97,                0.76843,                0.51057,                 1.5741,                0.81311,                0.79438,                0.85005,                0.68582,                 0.6988,                0.43565,                 1.6305,               0.006832,               0.006832,               0.006832
                     98,                0.77517,                0.51823,                 1.6034,                0.80779,                0.79598,                0.84966,                0.68557,                0.69849,                0.43597,                 1.6304,               0.006799,               0.006799,               0.006799
                     99,                0.76683,                0.50667,                 1.5787,                0.80913,                0.79489,                0.84887,                0.68485,                0.69837,                0.43587,                 1.6298,               0.006766,               0.006766,               0.006766
                    100,                0.77027,                0.51705,                 1.5618,                0.80583,                0.79895,                0.84821,                0.68449,                0.69809,                0.43596,                 1.6294,               0.006733,               0.006733,               0.006733
                    101,                0.76282,                0.50569,                 1.5714,                 0.8068,                0.79892,                0.84814,                0.68474,                0.69783,                0.43568,                 1.6297,                 0.0067,                 0.0067,                 0.0067
                    102,                0.76362,                0.51006,                 1.5924,                0.80797,                0.79526,                0.84752,                0.68518,                0.69741,                0.43533,                 1.6296,               0.006667,               0.006667,               0.006667
